CRISIS ID,COUNTRY,ISO3,INFORM_Start,INFORM_End,Date_Start,Date_End,Duration_Months,N_Observations,Improvement_Rate_Raw,INFORM_Std,Consistency_Raw,Total_Funding,HRP_Original_Requirements,HRP_Revised_Requirements,Funding_Requested,Funding_Per_Month,Cost_Effectiveness_Raw,Improvement_Rate_Normalized,Consistency_Normalized,Cost_Effectiveness_Normalized,Effectiveness_Score_01,Effectiveness_Score_100,Is_Successful
GMB002,Gambia,GMB,1.7,1.4,2022-08-01,2023-02-01,6,7,0.05000000000000001,0.10690449676496976,0.9034203067406376,5008215.0,,0.0,5008215.0,834702.5,0.003667078593015735,0.9999999999999998,0.6639439101935907,1.0,0.899183173058077,89.9183173058077,True
GRC002,Greece,GRC,1.8,2.2,2020-09-01,2025-12-01,63,63,-0.006349206349206351,0.3208890619303878,0.757065849677466,0.0,,0.0,0.0,0.0,0.0,0.46825396825396826,0.25514019296403856,0.4905166291544329,0.4087723678470823,40.87723678470823,False
GTM001,Guatemala,GTM,3.4,3.3,2020-09-01,2025-12-01,63,63,0.0015873015873015888,0.09283055273312414,0.9150549437870686,6695117780.0,153531304.0,153531304.0,6695117780.0,106271710.79365079,8.588592673565929e-05,0.507936507936508,0.7395501698899927,0.4977059070467582,0.5753744863446034,57.53744863446034,True
HND001,Honduras,HND,3.2,3.4,2020-09-01,2025-12-01,63,63,-0.0031746031746031703,0.1673564833650658,0.8566363525196368,10504996735.76,280360869.0,280360869.0,10504996735.76,166745979.93269843,-0.00016768466984110343,0.4841269841269842,0.5604330693876522,0.47648020042169176,0.5054894529641261,50.548945296412604,False
HTI001,Haiti,HTI,3.5,4.4,2020-09-01,2025-12-01,63,63,-0.014285714285714292,0.28388173186313337,0.7788879420761194,34061831460.2,908159989.0,908159989.0,34061831460.2,540663991.431746,-0.0007104383864344442,0.4285714285714286,0.3220488573556096,0.4310477594620507,0.39710992338480733,39.710992338480736,False
HUN002,Hungary,HUN,1.2,1.5,2022-02-01,2025-05-01,39,39,-0.007692307692307694,0.3892447443256688,0.7198155717950145,0.0,,0.0,0.0,0.0,0.0,0.46153846153846156,0.13682868138777426,0.4905166291544329,0.3699211610164497,36.99211610164497,False
IDN002,Indonesia,IDN,2.2,2.6,2021-12-01,2025-12-01,48,36,-0.008333333333333331,0.10720104240194447,0.9031783404309445,0.0,,0.0,0.0,0.0,0.0,0.45833333333333337,0.7031353452457824,0.4905166291544329,0.538210596071288,53.821059607128795,False
IDN007,Indonesia,IDN,2.1,2.5,2021-01-01,2023-10-01,33,15,-0.012121212121212118,0.1927248223318863,0.8384163566286048,0.0,,0.0,0.0,0.0,0.0,0.43939393939393945,0.47159008864489066,0.4905166291544329,0.4592773221213235,45.92773221213235,False
IND001,India,IND,2.5,2.7,2020-09-01,2025-12-01,63,11,-0.0031746031746031776,0.16787441193290356,0.8562564517060861,0.0,,0.0,0.0,0.0,0.0,0.48412698412698413,0.5592682564278503,0.4905166291544329,0.5079472948227337,50.79472948227337,False
IND006,India,IND,2.2,2.2,2024-10-01,2025-02-01,4,5,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.5,1.0,0.4905166291544329,0.6481033258308866,64.81033258308867,True
